"species_lump","present_below_south","present_within_buffer","present_above_north","present_observations_site","total_observations","sites_in_buffer","sites_present","total_sites","total_counts","percent_years_present","range_edge_category","range_lat","id"
"Atrimitra idae",FALSE,FALSE,FALSE,0,313,12,0,108,0,0,"Absent","32.78-33.6",1
"Balanus crenatus",FALSE,FALSE,TRUE,0,242,10,0,103,1,0,"Northern Only Presence","32.78-33.6",1
"Balanus glandula",TRUE,TRUE,TRUE,18,242,10,8,103,5046,45.4545454545455,"Continuous Presence","32.78-33.6",1
"Balanus glandula/Semibalanus balanoides",FALSE,FALSE,FALSE,0,242,10,0,103,0,0,"Absent","32.78-33.6",1
"Balanus nubilus",FALSE,FALSE,TRUE,0,242,10,0,103,6,0,"Northern Only Presence","32.78-33.6",1
"Bangia spp",TRUE,FALSE,TRUE,0,242,10,0,103,63,0,"Avoidant","32.78-33.6",1
"Besa leptophylla",TRUE,TRUE,TRUE,6,242,10,4,103,41,18.1818181818182,"Continuous Presence","32.78-33.6",1
"Bittium eschrichtii",FALSE,TRUE,TRUE,1,313,12,1,108,898,4.16666666666667,"Southern Range Edge","32.78-33.6",1
"Boring clam",FALSE,TRUE,TRUE,3,242,10,2,103,12,13.6363636363636,"Southern Range Edge","32.78-33.6",1
"Bossiella spp",TRUE,TRUE,TRUE,10,242,10,6,103,1442,36.3636363636364,"Continuous Presence","32.78-33.6",1
"Bryopsis spp",FALSE,TRUE,TRUE,1,242,10,1,103,12,4.54545454545455,"Southern Range Edge","32.78-33.6",1
"Bugula neritina",FALSE,TRUE,TRUE,4,242,10,3,103,18,13.6363636363636,"Southern Range Edge","32.78-33.6",1
"Californiconus californicus",TRUE,TRUE,TRUE,23,313,12,7,108,217,45.8333333333333,"Continuous Presence","32.78-33.6",1
"Calliarthron spp",TRUE,TRUE,TRUE,5,242,10,3,103,1229,18.1818181818182,"Continuous Presence","32.78-33.6",1
"Calliostoma annulatum",FALSE,FALSE,TRUE,0,313,12,0,108,5,0,"Northern Only Presence","32.78-33.6",1
"Calliostoma canaliculatum",FALSE,FALSE,TRUE,0,313,12,0,108,25,0,"Northern Only Presence","32.78-33.6",1
"Calliostoma ligatum",FALSE,FALSE,TRUE,0,313,12,0,108,90,0,"Northern Only Presence","32.78-33.6",1
"Calliostoma supragranosum",FALSE,FALSE,TRUE,0,313,12,0,108,1,0,"Northern Only Presence","32.78-33.6",1
"Callithamnion pikeanum",FALSE,TRUE,TRUE,1,242,10,1,103,330,4.54545454545455,"Southern Range Edge","32.78-33.6",1
"Callithamnion rupicola",TRUE,FALSE,TRUE,0,242,10,0,103,2,0,"Avoidant","32.78-33.6",1
"Callophyllis spp",TRUE,TRUE,TRUE,4,242,10,3,103,68,18.1818181818182,"Continuous Presence","32.78-33.6",1
"Cancer antennaria",FALSE,TRUE,TRUE,1,313,12,1,108,55,4.16666666666667,"Southern Range Edge","32.78-33.6",1
"Cancer oregonensis",FALSE,FALSE,TRUE,0,313,12,0,108,3,0,"Northern Only Presence","32.78-33.6",1
"Cancer productus",FALSE,FALSE,TRUE,0,313,12,0,108,1,0,"Northern Only Presence","32.78-33.6",1
"Carpopeltis bushiae",FALSE,FALSE,FALSE,0,242,10,0,103,0,0,"Absent","32.78-33.6",1
"Caulacanthus okamurae",TRUE,TRUE,TRUE,19,242,10,10,103,1831,40.9090909090909,"Continuous Presence","32.78-33.6",1
"Ceratostoma foliatum",FALSE,TRUE,TRUE,1,313,12,1,108,5,4.16666666666667,"Southern Range Edge","32.78-33.6",1
"Ceratostoma nuttalli",TRUE,TRUE,TRUE,7,313,12,6,108,46,16.6666666666667,"Continuous Presence","32.78-33.6",1
"Cerithiopsis spp",TRUE,FALSE,FALSE,0,313,12,0,108,2,0,"Southern Only Presence","32.78-33.6",1
"Chaetomorpha spp",TRUE,TRUE,TRUE,11,242,10,8,103,148,18.1818181818182,"Continuous Presence","32.78-33.6",1
"Chondracanthus canaliculatus",TRUE,TRUE,TRUE,21,242,10,9,103,5926,40.9090909090909,"Continuous Presence","32.78-33.6",1
"Chondracanthus corymbiferus/exaspertata",FALSE,FALSE,TRUE,0,242,10,0,103,74,0,"Northern Only Presence","32.78-33.6",1
"Chondracanthus harveyanus",FALSE,FALSE,TRUE,0,242,10,0,103,5,0,"Northern Only Presence","32.78-33.6",1
"Chondracanthus spinosus",TRUE,FALSE,TRUE,0,242,10,0,103,42,0,"Avoidant","32.78-33.6",1
"Chondria acrorhizophora",TRUE,TRUE,TRUE,3,242,10,3,103,21,13.6363636363636,"Continuous Presence","32.78-33.6",1
"Chondria arcuata",TRUE,TRUE,TRUE,3,242,10,3,103,16,4.54545454545455,"Continuous Presence","32.78-33.6",1
"Chondria dasyphylla",TRUE,TRUE,TRUE,1,242,10,1,103,16,4.54545454545455,"Continuous Presence","32.78-33.6",1
"Chondria decipiens",FALSE,TRUE,TRUE,5,242,10,3,103,25,18.1818181818182,"Southern Range Edge","32.78-33.6",1
"Chondria nidifica",TRUE,TRUE,TRUE,4,242,10,3,103,157,9.09090909090909,"Continuous Presence","32.78-33.6",1
"Chondria oppositiclada",TRUE,TRUE,FALSE,2,242,10,2,103,23,9.09090909090909,"Northern Range Edge","32.78-33.6",1
"Chone minuta",FALSE,FALSE,TRUE,0,242,10,0,103,88,0,"Northern Only Presence","32.78-33.6",1
"Chthamalus dalli/fissus",TRUE,TRUE,TRUE,23,242,10,10,103,17343,45.4545454545455,"Continuous Presence","32.78-33.6",1
"Cirolana spp/Gnorimosphaeroma oregonense",FALSE,FALSE,TRUE,0,313,12,0,108,82,0,"Northern Only Presence","32.78-33.6",1
"Cladophora columbiana",FALSE,TRUE,TRUE,2,242,10,2,103,1559,4.54545454545455,"Southern Range Edge","32.78-33.6",1
"Cladophora graminea",TRUE,FALSE,TRUE,0,242,10,0,103,6,0,"Avoidant","32.78-33.6",1
"Clavelina huntsmani",FALSE,FALSE,TRUE,0,242,10,0,103,4,0,"Northern Only Presence","32.78-33.6",1
"Codium fragile",TRUE,TRUE,TRUE,3,242,10,3,103,51,13.6363636363636,"Continuous Presence","32.78-33.6",1
"Codium setchellii",FALSE,FALSE,TRUE,0,242,10,0,103,19,0,"Northern Only Presence","32.78-33.6",1
"Colonial diatom",TRUE,TRUE,TRUE,3,242,10,2,103,75,13.6363636363636,"Continuous Presence","32.78-33.6",1
"Colpomenia/Leathesia spp",TRUE,TRUE,TRUE,17,242,10,8,103,184,45.4545454545455,"Continuous Presence","32.78-33.6",1
"Constantinea simplex",FALSE,FALSE,TRUE,0,242,10,0,103,109,0,"Northern Only Presence","32.78-33.6",1
"Corallina spp",TRUE,TRUE,TRUE,23,242,10,10,103,18213,45.4545454545455,"Continuous Presence","32.78-33.6",1
"Corynactis californica",FALSE,FALSE,FALSE,0,242,10,0,103,0,0,"Absent","32.78-33.6",1
"Costaria costata",FALSE,FALSE,TRUE,0,242,10,0,103,93,0,"Northern Only Presence","32.78-33.6",1
"Crangon spp",TRUE,FALSE,TRUE,0,313,12,0,108,10,0,"Avoidant","32.78-33.6",1
"Crepipatella lingulata",TRUE,TRUE,TRUE,5,313,12,5,108,11,16.6666666666667,"Continuous Presence","32.78-33.6",1
"Cryptochiton stelleri",FALSE,FALSE,TRUE,0,391,12,0,108,236,0,"Northern Only Presence","32.78-33.6",1
"Cryptolithodes sitchensis",FALSE,FALSE,TRUE,0,313,12,0,108,5,0,"Northern Only Presence","32.78-33.6",1
"Cryptopleura/Hymenena spp",TRUE,TRUE,TRUE,15,242,10,7,103,3622,31.8181818181818,"Continuous Presence","32.78-33.6",1
"Cryptosiphonia woodii",FALSE,FALSE,TRUE,0,242,10,0,103,922,0,"Northern Only Presence","32.78-33.6",1
"Cucumaria miniata",FALSE,FALSE,FALSE,0,313,12,0,108,0,0,"Absent","32.78-33.6",1
"Cucumaria/Pseudocnus spp",FALSE,FALSE,TRUE,0,313,12,0,108,573,0,"Northern Only Presence","32.78-33.6",1
"Cumagloia andersonii",FALSE,FALSE,TRUE,0,242,10,0,103,25,0,"Northern Only Presence","32.78-33.6",1
"Cyanoplax hartwegii",TRUE,TRUE,TRUE,34,313,12,11,108,1890,54.1666666666667,"Continuous Presence","32.78-33.6",1
"Cyanoplax spp",TRUE,TRUE,TRUE,5,313,12,3,108,1882,16.6666666666667,"Continuous Presence","32.78-33.6",1
"Dasya binghamiae",TRUE,TRUE,TRUE,1,242,10,1,103,18,4.54545454545455,"Continuous Presence","32.78-33.6",1
"Dasysiphonia japonica",TRUE,FALSE,FALSE,0,242,10,0,103,1,0,"Southern Only Presence","32.78-33.6",1
"Delesseria decipiens",FALSE,FALSE,TRUE,0,242,10,0,103,5,0,"Northern Only Presence","32.78-33.6",1
"Dendrobeania lichenoides",FALSE,FALSE,FALSE,0,242,10,0,103,0,0,"Absent","32.78-33.6",1
"Dendronotus subramosus",FALSE,FALSE,TRUE,0,313,12,0,108,1,0,"Northern Only Presence","32.78-33.6",1
"Dendropoma lituella",FALSE,FALSE,FALSE,0,242,10,0,103,0,0,"Absent","32.78-33.6",1
"Derbesia marina",FALSE,FALSE,TRUE,0,242,10,0,103,12,0,"Northern Only Presence","32.78-33.6",1
"Dermasterias imbricata",FALSE,FALSE,TRUE,0,391,12,0,108,683,0,"Northern Only Presence","32.78-33.6",1
"Desmarestia ligulata",FALSE,FALSE,TRUE,0,242,10,0,103,121,0,"Northern Only Presence","32.78-33.6",1
"Diaperoecia californica",FALSE,FALSE,FALSE,0,242,10,0,103,0,0,"Absent","32.78-33.6",1
"Diaulula sandiegensis",TRUE,FALSE,TRUE,0,313,12,0,108,12,0,"Avoidant","32.78-33.6",1
"Dictyoneurum californicum",FALSE,FALSE,TRUE,0,242,10,0,103,12,0,"Northern Only Presence","32.78-33.6",1
"Dictyopteris undulata",TRUE,TRUE,TRUE,6,242,10,4,103,22,18.1818181818182,"Continuous Presence","32.78-33.6",1
"Dictyota binghamiae",FALSE,FALSE,TRUE,0,242,10,0,103,4,0,"Northern Only Presence","32.78-33.6",1
"Dictyota coriacea",TRUE,TRUE,TRUE,13,242,10,7,103,138,27.2727272727273,"Continuous Presence","32.78-33.6",1
"Dilsea californica",FALSE,FALSE,TRUE,0,242,10,0,103,447,0,"Northern Only Presence","32.78-33.6",1
"Diodora aspera",FALSE,FALSE,TRUE,0,313,12,0,108,11,0,"Northern Only Presence","32.78-33.6",1
"Dirona albolineata",FALSE,FALSE,TRUE,0,313,12,0,108,2,0,"Northern Only Presence","32.78-33.6",1
"Discurria insessa",FALSE,TRUE,TRUE,1,313,12,1,108,120,4.16666666666667,"Southern Range Edge","32.78-33.6",1
"Distaplia occidentalis",FALSE,FALSE,TRUE,0,242,10,0,103,9,0,"Northern Only Presence","32.78-33.6",1
"Dodecaceria spp",FALSE,FALSE,TRUE,0,242,10,0,103,239,0,"Northern Only Presence","32.78-33.6",1
"Doris montereyensis",FALSE,FALSE,TRUE,0,313,12,0,108,3,0,"Northern Only Presence","32.78-33.6",1
"Ectocarpus spp",FALSE,TRUE,TRUE,1,242,10,1,103,2,4.54545454545455,"Southern Range Edge","32.78-33.6",1
"Egregia menziesii",TRUE,TRUE,TRUE,13,242,10,6,103,5494,31.8181818181818,"Continuous Presence","32.78-33.6",1
"Eisenia arborea",TRUE,TRUE,TRUE,16,242,10,7,103,141,45.4545454545455,"Continuous Presence","32.78-33.6",1
"Encrusting coralline",TRUE,TRUE,TRUE,23,242,10,10,103,8084,45.4545454545455,"Continuous Presence","32.78-33.6",1
"Endarachne/Petalonia/Phaeostrophion spp",TRUE,TRUE,TRUE,18,242,10,9,103,381,36.3636363636364,"Continuous Presence","32.78-33.6",1
"Endocladia muricata",FALSE,TRUE,TRUE,4,242,10,1,103,14318,18.1818181818182,"Southern Range Edge","32.78-33.6",1
"Endoplura aurea",FALSE,FALSE,FALSE,0,242,10,0,103,0,0,"Absent","32.78-33.6",1
"Epiactis prolifera",FALSE,FALSE,TRUE,0,242,10,0,103,5,0,"Northern Only Presence","32.78-33.6",1
"Epitonium tinctum",TRUE,TRUE,TRUE,18,313,12,9,108,388,45.8333333333333,"Continuous Presence","32.78-33.6",1
"Erythroglossum californicum",TRUE,TRUE,TRUE,6,242,10,5,103,48,13.6363636363636,"Continuous Presence","32.78-33.6",1
"Erythrophyllum delesserioides",FALSE,TRUE,TRUE,1,242,10,1,103,222,4.54545454545455,"Southern Range Edge","32.78-33.6",1
"Eudendrium californicum",FALSE,FALSE,TRUE,0,242,10,0,103,2,0,"Northern Only Presence","32.78-33.6",1
"Eudistoma psammion",TRUE,TRUE,TRUE,5,242,10,3,103,45,13.6363636363636,"Continuous Presence","32.78-33.6",1
"Eudistoma ritteri",FALSE,FALSE,TRUE,0,242,10,0,103,4,0,"Northern Only Presence","32.78-33.6",1
"Eudistylia polymorpha",FALSE,FALSE,FALSE,0,242,10,0,103,0,0,"Absent","32.78-33.6",1
"Eupentacta spp",FALSE,FALSE,TRUE,0,313,12,0,108,11,0,"Northern Only Presence","32.78-33.6",1
"Eurystomella bilabiata",FALSE,TRUE,TRUE,1,242,10,1,103,29,4.54545454545455,"Southern Range Edge","32.78-33.6",1
"Evasterias troschelii",FALSE,FALSE,FALSE,0,391,12,0,108,0,0,"Absent","32.78-33.6",1
"Farlowia compressa",FALSE,FALSE,TRUE,0,242,10,0,103,3,0,"Northern Only Presence","32.78-33.6",1
"Farlowia mollis",FALSE,FALSE,TRUE,0,242,10,0,103,17,0,"Northern Only Presence","32.78-33.6",1
"Farlowia/Pikea spp",TRUE,FALSE,TRUE,0,242,10,0,103,93,0,"Avoidant","32.78-33.6",1
"Fissurella volcano",TRUE,TRUE,TRUE,34,313,12,11,108,4909,54.1666666666667,"Continuous Presence","32.78-33.6",1
"Fissurellidea bimaculata",FALSE,FALSE,TRUE,0,313,12,0,108,5,0,"Northern Only Presence","32.78-33.6",1
"Flustrellidra corniculata",FALSE,FALSE,TRUE,0,242,10,0,103,4,0,"Northern Only Presence","32.78-33.6",1
"Fredericqia chiton",FALSE,FALSE,TRUE,0,242,10,0,103,1,0,"Northern Only Presence","32.78-33.6",1
"Fucus spp",FALSE,FALSE,TRUE,0,242,10,0,103,3137,0,"Northern Only Presence","32.78-33.6",1
"Gastroclonium parvum",TRUE,TRUE,TRUE,14,242,10,9,103,162,22.7272727272727,"Continuous Presence","32.78-33.6",1
"Gelidium purpurascens",TRUE,TRUE,TRUE,5,242,10,5,103,43,18.1818181818182,"Continuous Presence","32.78-33.6",1
"Gelidium robustum",TRUE,TRUE,TRUE,11,242,10,5,103,128,27.2727272727273,"Continuous Presence","32.78-33.6",1
"Gelidium spp",TRUE,TRUE,TRUE,21,242,10,10,103,4262,40.9090909090909,"Continuous Presence","32.78-33.6",1
"Gloiopeltis furcata",FALSE,TRUE,TRUE,1,242,10,1,103,69,4.54545454545455,"Southern Range Edge","32.78-33.6",1
"Gloiosiphonia californica",FALSE,FALSE,TRUE,0,242,10,0,103,4,0,"Northern Only Presence","32.78-33.6",1
"Gracilariopsis/Gracilaria spp",TRUE,TRUE,TRUE,3,242,10,2,103,423,13.6363636363636,"Continuous Presence","32.78-33.6",1
"Grateloupia angusta",TRUE,FALSE,FALSE,0,242,10,0,103,2,0,"Southern Only Presence","32.78-33.6",1
"Grateloupia californica",FALSE,TRUE,TRUE,1,242,10,1,103,139,4.54545454545455,"Southern Range Edge","32.78-33.6",1
"Grateloupia cornea",TRUE,FALSE,FALSE,0,242,10,0,103,4,0,"Southern Only Presence","32.78-33.6",1
"Halichondria panicea",FALSE,FALSE,TRUE,0,242,10,0,103,5,0,"Northern Only Presence","32.78-33.6",1
"Halichondria spp",FALSE,FALSE,TRUE,0,242,10,0,103,57,0,"Northern Only Presence","32.78-33.6",1
"Haliclona spp",TRUE,TRUE,TRUE,1,242,10,1,103,60,4.54545454545455,"Continuous Presence","32.78-33.6",1
"Halosaccion glandiforme",FALSE,FALSE,TRUE,0,242,10,0,103,769,0,"Northern Only Presence","32.78-33.6",1
"Halymenia/Schizymenia spp",FALSE,FALSE,TRUE,0,242,10,0,103,221,0,"Northern Only Presence","32.78-33.6",1
"Haminoea vesicula",TRUE,TRUE,TRUE,1,313,12,1,108,13,4.16666666666667,"Continuous Presence","32.78-33.6",1
"Haminoea virescens",FALSE,TRUE,TRUE,3,313,12,3,108,12,12.5,"Southern Range Edge","32.78-33.6",1
"Hapalospongidion gelatinosum",FALSE,FALSE,FALSE,0,242,10,0,103,0,0,"Absent","32.78-33.6",1
"Haplogloia andersonii",FALSE,FALSE,TRUE,0,242,10,0,103,11,0,"Northern Only Presence","32.78-33.6",1
"Hapterophycus canaliculatus",TRUE,TRUE,TRUE,7,242,10,4,103,93,27.2727272727273,"Continuous Presence","32.78-33.6",1
"Hedophyllum sessile",FALSE,FALSE,TRUE,0,242,10,0,103,720,0,"Northern Only Presence","32.78-33.6",1
"Heliaster kubiniji",FALSE,FALSE,FALSE,0,391,12,0,108,0,0,"Absent","32.78-33.6",1
"Hemigrapsus nudus",FALSE,TRUE,TRUE,2,313,12,2,108,66,8.33333333333333,"Southern Range Edge","32.78-33.6",1
"Hemigrapsus oregonensis",FALSE,FALSE,TRUE,0,313,12,0,108,1,0,"Northern Only Presence","32.78-33.6",1
"Henricia spp",FALSE,FALSE,TRUE,0,391,12,0,108,446,0,"Northern Only Presence","32.78-33.6",1
"Hermissenda crassicornis",TRUE,FALSE,TRUE,0,313,12,0,108,32,0,"Avoidant","32.78-33.6",1
"Herposiphonia littoralis",TRUE,TRUE,FALSE,1,242,10,1,103,9,4.54545454545455,"Northern Range Edge","32.78-33.6",1
"Herposiphonia plumula",FALSE,FALSE,FALSE,0,242,10,0,103,0,0,"Absent","32.78-33.6",1
"Herposiphonia verticillata",FALSE,TRUE,TRUE,2,242,10,1,103,15,9.09090909090909,"Southern Range Edge","32.78-33.6",1
"Homalopoma spp",FALSE,TRUE,TRUE,1,313,12,1,108,191,4.16666666666667,"Southern Range Edge","32.78-33.6",1
"Hypnea johnstonii",FALSE,TRUE,FALSE,3,242,10,3,103,12,4.54545454545455,"Endemic Presence","32.78-33.6",1
"Hypnea valentiae",TRUE,TRUE,FALSE,10,242,10,5,103,164,27.2727272727273,"Northern Range Edge","32.78-33.6",1
"Hypnea variabilis",TRUE,FALSE,TRUE,0,242,10,0,103,5,0,"Avoidant","32.78-33.6",1
"Idotea spp",TRUE,TRUE,TRUE,5,313,12,4,108,837,16.6666666666667,"Continuous Presence","32.78-33.6",1
"Jania rosea",TRUE,TRUE,TRUE,8,242,10,5,103,88,22.7272727272727,"Continuous Presence","32.78-33.6",1
"Jania tenella",FALSE,TRUE,FALSE,6,242,10,6,103,13,22.7272727272727,"Endemic Presence","32.78-33.6",1
"Jania verrucosa",TRUE,TRUE,FALSE,17,242,10,7,103,531,36.3636363636364,"Northern Range Edge","32.78-33.6",1
"Johansenia macmillanii",FALSE,FALSE,TRUE,0,242,10,0,103,4,0,"Northern Only Presence","32.78-33.6",1
"Katharina tunicata",FALSE,FALSE,TRUE,0,313,12,0,108,555,0,"Northern Only Presence","32.78-33.6",1
"Kelletia kelletii",TRUE,FALSE,FALSE,0,313,12,0,108,9,0,"Southern Only Presence","32.78-33.6",1
"Lacuna spp",TRUE,TRUE,TRUE,8,313,12,6,108,18119,16.6666666666667,"Continuous Presence","32.78-33.6",1
"Laminaria ephemera",FALSE,FALSE,TRUE,0,242,10,0,103,4,0,"Northern Only Presence","32.78-33.6",1
"Laminaria farlowii",FALSE,TRUE,FALSE,1,242,10,1,103,1,4.54545454545455,"Endemic Presence","32.78-33.6",1
"Laminaria setchellii",FALSE,FALSE,TRUE,0,242,10,0,103,553,0,"Northern Only Presence","32.78-33.6",1
"Laminaria sinclairii",FALSE,FALSE,TRUE,0,242,10,0,103,252,0,"Northern Only Presence","32.78-33.6",1
"Laurencia pacifica/masonii",TRUE,TRUE,TRUE,21,242,10,8,103,462,45.4545454545455,"Continuous Presence","32.78-33.6",1
"Laurencia spp",FALSE,TRUE,TRUE,5,242,10,4,103,15,13.6363636363636,"Southern Range Edge","32.78-33.6",1
"Lepidozona spp",TRUE,TRUE,TRUE,6,313,12,4,108,127,20.8333333333333,"Continuous Presence","32.78-33.6",1
"Leptasterias spp",TRUE,FALSE,TRUE,0,313,12,0,108,1995,0,"Avoidant","32.78-33.6",1
"Lessoniopsis littoralis",FALSE,FALSE,TRUE,0,242,10,0,103,10,0,"Northern Only Presence","32.78-33.6",1
"Ligia spp",FALSE,TRUE,TRUE,1,313,12,1,108,32,4.16666666666667,"Southern Range Edge","32.78-33.6",1
"Limacia cockerelli",TRUE,FALSE,FALSE,0,313,12,0,108,2,0,"Southern Only Presence","32.78-33.6",1
"Linckia columbiae",FALSE,FALSE,FALSE,0,391,12,0,108,0,0,"Absent","32.78-33.6",1
"Lirabuccinum dirum",FALSE,FALSE,TRUE,0,313,12,0,108,133,0,"Northern Only Presence","32.78-33.6",1
"Lirularia/Margarites spp",FALSE,TRUE,TRUE,2,313,12,2,108,396,8.33333333333333,"Southern Range Edge","32.78-33.6",1
"Lithophyllum/Lithothamnion spp",TRUE,TRUE,TRUE,1,242,10,1,103,159,4.54545454545455,"Continuous Presence","32.78-33.6",1
"Lithothrix aspergillum",TRUE,TRUE,TRUE,22,242,10,9,103,1542,45.4545454545455,"Continuous Presence","32.78-33.6",1
"Littorina spp.",TRUE,TRUE,TRUE,35,313,12,12,108,737668,54.1666666666667,"Continuous Presence","32.78-33.6",1
"Lomentaria hakodatensis",TRUE,TRUE,TRUE,13,242,10,8,103,250,22.7272727272727,"Continuous Presence","32.78-33.6",1
"Lottia asmi",FALSE,FALSE,TRUE,0,313,12,0,108,357,0,"Northern Only Presence","32.78-33.6",1
"Lottia austrodigitalis/digitalis",TRUE,TRUE,TRUE,33,313,12,12,108,70520,54.1666666666667,"Continuous Presence","32.78-33.6",1
"Lottia fenestrata",TRUE,TRUE,TRUE,1,313,12,1,108,1030,4.16666666666667,"Continuous Presence","32.78-33.6",1
"Lottia instabilis",TRUE,TRUE,TRUE,5,313,12,5,108,229,12.5,"Continuous Presence","32.78-33.6",1
"Lottia limatula",TRUE,TRUE,TRUE,29,313,12,12,108,3715,54.1666666666667,"Continuous Presence","32.78-33.6",1
"Lottia paradigitalis/strigatella",TRUE,TRUE,TRUE,35,313,12,12,108,87755,54.1666666666667,"Continuous Presence","32.78-33.6",1
"Lottia pelta",TRUE,TRUE,TRUE,28,313,12,12,108,14378,54.1666666666667,"Continuous Presence","32.78-33.6",1
"Lottia persona",FALSE,TRUE,TRUE,2,313,12,2,108,82,8.33333333333333,"Southern Range Edge","32.78-33.6",1
"Lottia polyfacies",FALSE,TRUE,TRUE,2,313,12,2,108,37,4.16666666666667,"Southern Range Edge","32.78-33.6",1
"Lottia scabra/conus",TRUE,TRUE,TRUE,35,313,12,12,108,120485,54.1666666666667,"Continuous Presence","32.78-33.6",1
"Lottia scutum",TRUE,TRUE,TRUE,11,313,12,6,108,2814,29.1666666666667,"Continuous Presence","32.78-33.6",1
"Macrocystis pyrifera",TRUE,TRUE,TRUE,2,242,10,2,103,74,9.09090909090909,"Continuous Presence","32.78-33.6",1
"Macron lividus",TRUE,TRUE,TRUE,19,313,12,6,108,145,41.6666666666667,"Continuous Presence","32.78-33.6",1
"Mastocarpus spp",FALSE,TRUE,TRUE,1,242,10,1,103,12690,4.54545454545455,"Southern Range Edge","32.78-33.6",1
"Maxwellia gemma",FALSE,TRUE,TRUE,4,313,12,3,108,5,12.5,"Southern Range Edge","32.78-33.6",1
"Mazzaella affinis",TRUE,TRUE,TRUE,9,242,10,4,103,821,27.2727272727273,"Continuous Presence","32.78-33.6",1
"Mazzaella flaccida/oregona/splendens",FALSE,TRUE,TRUE,1,242,10,1,103,11621,4.54545454545455,"Southern Range Edge","32.78-33.6",1
"Mazzaella leptorhynchos",TRUE,TRUE,TRUE,9,242,10,5,103,455,27.2727272727273,"Continuous Presence","32.78-33.6",1
"Mazzaella linearis",FALSE,FALSE,TRUE,0,242,10,0,103,87,0,"Northern Only Presence","32.78-33.6",1
"Mazzaella parksii",FALSE,FALSE,TRUE,0,242,10,0,103,115,0,"Northern Only Presence","32.78-33.6",1
"Mazzaella phyllocarpa",FALSE,FALSE,FALSE,0,242,10,0,103,0,0,"Absent","32.78-33.6",1
"Mazzaella volans",FALSE,TRUE,TRUE,1,242,10,1,103,23,4.54545454545455,"Southern Range Edge","32.78-33.6",1
